"country","status","description","range","number","day","source"
"Guinea","DEATHS","Total","Cumulative","1550","290","WHO"
"Guinea","CASES","Total","Cumulative","2453","290","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6856","291","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","291","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1616","291","WHO"
"Sierra Leone","CASES","Total","Cumulative","8759","291","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2111","291","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","291","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","291","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2477","291","WHO"
"All countries","CASES","Total","Cumulative","19031","343","WHO"
"All countries","DEATHS","Total","Cumulative","7373","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3085","292","WHO"
"Liberia","CASES","Probable","Cumulative","1754","292","WHO"
"Liberia","CASES","Suspected","Cumulative","2991","292","WHO"
"Liberia","CASES","Total","Cumulative","7830","292","WHO"
"Liberia","DEATHS","Total","Cumulative","3376","292","WHO"
"Guinea","CASES","Confirmed","Cumulative","2259","294","WHO"
"Guinea","CASES","Probable","Cumulative","263","294","WHO"
"Guinea","CASES","Suspected","Cumulative","49","294","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1323","294","WHO"
"Guinea","DEATHS","Probable","Cumulative","263","294","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","294","WHO"
"Guinea","DEATHS","Total","Cumulative","1586","294","WHO"
"Guinea","CASES","Total","Cumulative","2571","294","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6975","294","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","294","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1677","294","WHO"
"Sierra Leone","CASES","Total","Cumulative","8939","294","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2190","294","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","294","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","294","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2556","294","WHO"
"All countries","CASES","Total","Cumulative","19340","343","WHO"
"All countries","DEATHS","Total","Cumulative","7518","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3085","292","WHO"
"Liberia","CASES","Probable","Cumulative","1754","292","WHO"
"Liberia","CASES","Suspected","Cumulative","2991","292","WHO"
"Liberia","CASES","Total","Cumulative","7830","292","WHO"
"Liberia","DEATHS","Total","Cumulative","3376","292","WHO"
"Guinea","CASES","Confirmed","Cumulative","2284","295","WHO"
"Guinea","CASES","Probable","Cumulative","263","295","WHO"
"Guinea","CASES","Suspected","Cumulative","50","295","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1344","295","WHO"
"Guinea","DEATHS","Probable","Cumulative","263","295","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","295","WHO"
"Guinea","DEATHS","Total","Cumulative","1607","295","WHO"
"Guinea","CASES","Total","Cumulative","2597","295","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7017","295","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","295","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1700","295","WHO"
"Sierra Leone","CASES","Total","Cumulative","9004","295","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2216","295","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","295","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","295","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2582","295","WHO"
"All countries","CASES","Total","Cumulative","19431","343","WHO"
"All countries","DEATHS","Total","Cumulative","7565","343","WHO"
"Guinea","CASES","Confirmed","Cumulative","2284","295","WHO"
"Guinea","CASES","Probable","Cumulative","263","295","WHO"
"Guinea","CASES","Suspected","Cumulative","50","295","WHO"
"Guinea","CASES","Total","Cumulative","2597","295","WHO"
"Guinea","CASES","Confirmed","In past 21 days","328","295","WHO"
"Guinea","CASES","Total","In past 21 days","328","295","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1344","295","WHO"
"Guinea","DEATHS","Probable","Cumulative","263","295","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","295","WHO"
"Guinea","DEATHS","Total","Cumulative","1607","295","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7017","295","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","295","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1700","295","WHO"
"Sierra Leone","CASES","Total","Cumulative","9004","295","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","1039","295","WHO"
"Sierra Leone","CASES","Total","In past 21 days","1039","295","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2216","295","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","295","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","295","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2582","295","WHO"
"All countries","CASES","Total","In past 21 days","1488","343","WHO"
"All countries","DEATHS","Total","Cumulative","7573","343","WHO"
"All countries","CASES","Total","Cumulative","19463","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3085","294","WHO"
"Liberia","CASES","Probable","Cumulative","1757","294","WHO"
"Liberia","CASES","Suspected","Cumulative","3020","294","WHO"
"Liberia","CASES","Total","Cumulative","7862","294","WHO"
"Liberia","CASES","Confirmed","In past 21 days","121","294","WHO"
"Liberia","CASES","Total","In past 21 days","121","294","WHO"
"Liberia","DEATHS","Total","Cumulative","3384","294","WHO"
"Liberia","CASES","Confirmed","Cumulative","3085","294","WHO"
"Liberia","CASES","Probable","Cumulative","1757","294","WHO"
"Liberia","CASES","Suspected","Cumulative","3020","294","WHO"
"Liberia","CASES","Total","Cumulative","7862","294","WHO"
"Liberia","DEATHS","Total","Cumulative","3384","294","WHO"
"Guinea","CASES","Confirmed","Cumulative","2342","298","WHO"
"Guinea","CASES","Probable","Cumulative","269","298","WHO"
"Guinea","CASES","Suspected","Cumulative","19","298","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1385","298","WHO"
"Guinea","DEATHS","Probable","Cumulative","269","298","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","298","WHO"
"Guinea","DEATHS","Total","Cumulative","1654","298","WHO"
"Guinea","CASES","Total","Cumulative","2630","298","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7160","298","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","298","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1756","298","WHO"
"Sierra Leone","CASES","Total","Cumulative","9203","298","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2289","298","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","298","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","298","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2655","298","WHO"
"All countries","CASES","Total","Cumulative","19695","343","WHO"
"All countries","DEATHS","Total","Cumulative","7693","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3108","298","WHO"
"Liberia","CASES","Probable","Cumulative","1773","298","WHO"
"Liberia","CASES","Suspected","Cumulative","3096","298","WHO"
"Liberia","CASES","Total","Cumulative","7977","298","WHO"
"Liberia","DEATHS","Total","Cumulative","3413","298","WHO"
"Guinea","CASES","Confirmed","Cumulative","2384","301","WHO"
"Guinea","CASES","Probable","Cumulative","275","301","WHO"
"Guinea","CASES","Suspected","Cumulative","36","301","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1422","301","WHO"
"Guinea","DEATHS","Probable","Cumulative","275","301","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","301","WHO"
"Guinea","DEATHS","Total","Cumulative","1697","301","WHO"
"Guinea","CASES","Total","Cumulative","2695","301","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7326","301","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","301","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1796","301","WHO"
"Sierra Leone","CASES","Total","Cumulative","9409","301","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2366","301","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","301","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","301","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2732","301","WHO"
"All countries","CASES","Total","Cumulative","20081","343","WHO"
"All countries","DEATHS","Total","Cumulative","7842","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3108","298","WHO"
"Liberia","CASES","Probable","Cumulative","1773","298","WHO"
"Liberia","CASES","Suspected","Cumulative","3096","298","WHO"
"Liberia","CASES","Total","Cumulative","7977","298","WHO"
"Liberia","DEATHS","Total","Cumulative","3413","298","WHO"
"Guinea","CASES","Confirmed","Cumulative","2397","302","WHO"
"Guinea","CASES","Probable","Cumulative","275","302","WHO"
"Guinea","CASES","Suspected","Cumulative","34","302","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1433","302","WHO"
"Guinea","DEATHS","Probable","Cumulative","275","302","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","302","WHO"
"Guinea","DEATHS","Total","Cumulative","1708","302","WHO"
"Guinea","CASES","Total","Cumulative","2706","302","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7354","302","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","302","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1805","302","WHO"
"Sierra Leone","CASES","Total","Cumulative","9446","302","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2392","302","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","302","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","302","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2758","302","WHO"
"All countries","CASES","Total","Cumulative","20129","343","WHO"
"All countries","DEATHS","Total","Cumulative","7879","343","WHO"
"Guinea","CASES","Confirmed","Cumulative","2397","302","WHO"
"Guinea","CASES","Probable","Cumulative","276","302","WHO"
"Guinea","CASES","Suspected","Cumulative","34","302","WHO"
"Guinea","CASES","Total","Cumulative","2707","302","WHO"
"Guinea","CASES","Confirmed","In past 21 days","346","302","WHO"
"Guinea","CASES","Total","In past 21 days","346","302","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1433","302","WHO"
"Guinea","DEATHS","Probable","Cumulative","276","302","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","302","WHO"
"Guinea","DEATHS","Total","Cumulative","1709","302","WHO"
"Liberia","CASES","Confirmed","Cumulative","3110","302","WHO"
"Liberia","CASES","Probable","Cumulative","1776","302","WHO"
"Liberia","CASES","Suspected","Cumulative","3132","302","WHO"
"Liberia","CASES","Total","Cumulative","8018","302","WHO"
"Liberia","CASES","Confirmed","In past 21 days","92","302","WHO"
"Liberia","CASES","Total","In past 21 days","92","302","WHO"
"Liberia","DEATHS","Total","Cumulative","3423","302","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7354","302","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","302","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1805","302","WHO"
"Sierra Leone","CASES","Total","Cumulative","9446","302","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","979","302","WHO"
"Sierra Leone","CASES","Total","In past 21 days","979","302","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2392","302","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","302","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","302","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2758","302","WHO"
"All countries","CASES","Total","Cumulative","20171","343","WHO"
"All countries","CASES","Total","In past 21 days","1417","343","WHO"
"All countries","DEATHS","Total","Cumulative","7890","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3110","302","WHO"
"Liberia","CASES","Probable","Cumulative","1776","302","WHO"
"Liberia","CASES","Suspected","Cumulative","3132","302","WHO"
"Liberia","CASES","Total","Cumulative","8018","302","WHO"
"Liberia","DEATHS","Total","Cumulative","3423","302","WHO"
"Guinea","CASES","Confirmed","Cumulative","2435","305","WHO"
"Guinea","CASES","Probable","Cumulative","276","305","WHO"
"Guinea","CASES","Suspected","Cumulative","19","305","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1463","305","WHO"
"Guinea","DEATHS","Probable","Cumulative","276","305","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","305","WHO"
"Guinea","DEATHS","Total","Cumulative","1739","305","WHO"
"Guinea","CASES","Total","Cumulative","2730","305","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7476","305","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","305","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1870","305","WHO"
"Sierra Leone","CASES","Total","Cumulative","9633","305","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2461","305","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","305","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","305","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2827","305","WHO"
"All countries","CASES","Total","Cumulative","20381","343","WHO"
"All countries","DEATHS","Total","Cumulative","7989","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3116","305","WHO"
"Liberia","CASES","Probable","Cumulative","1805","305","WHO"
"Liberia","CASES","Suspected","Cumulative","3198","305","WHO"
"Liberia","CASES","Total","Cumulative","8115","305","WHO"
"Liberia","DEATHS","Total","Cumulative","3471","305","WHO"
"Guinea","CASES","Confirmed","Cumulative","2465","308","WHO"
"Guinea","CASES","Probable","Cumulative","280","308","WHO"
"Guinea","CASES","Suspected","Cumulative","26","308","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1488","308","WHO"
"Guinea","DEATHS","Probable","Cumulative","280","308","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","308","WHO"
"Guinea","DEATHS","Total","Cumulative","1767","308","WHO"
"Guinea","CASES","Total","Cumulative","2769","308","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7570","308","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","308","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1915","308","WHO"
"Sierra Leone","CASES","Total","Cumulative","9772","308","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2549","308","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","308","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","308","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2915","308","WHO"
"All countries","CASES","Total","Cumulative","20656","343","WHO"
"All countries","DEATHS","Total","Cumulative","8153","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3118","307","WHO"
"Liberia","CASES","Probable","Cumulative","1816","307","WHO"
"Liberia","CASES","Suspected","Cumulative","3223","307","WHO"
"Liberia","CASES","Total","Cumulative","8157","307","WHO"
"Liberia","DEATHS","Total","Cumulative","3496","307","WHO"
"Guinea","CASES","Confirmed","Cumulative","2471","309","WHO"
"Guinea","CASES","Probable","Cumulative","282","309","WHO"
"Guinea","CASES","Suspected","Cumulative","22","309","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1499","309","WHO"
"Guinea","DEATHS","Probable","Cumulative","282","309","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","309","WHO"
"Guinea","DEATHS","Total","Cumulative","1781","309","WHO"
"Guinea","CASES","Total","Cumulative","2775","309","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7602","309","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","309","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1891","309","WHO"
"Sierra Leone","CASES","Total","Cumulative","9780","309","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2577","309","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","309","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","309","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2943","309","WHO"
"All countries","CASES","Total","Cumulative","20712","343","WHO"
"All countries","DEATHS","Total","Cumulative","8220","343","WHO"
"Guinea","CASES","Confirmed","Cumulative","2471","309","WHO"
"Guinea","CASES","Probable","Cumulative","282","309","WHO"
"Guinea","CASES","Suspected","Cumulative","22","309","WHO"
"Guinea","CASES","Total","Cumulative","2775","309","WHO"
"Guinea","CASES","Confirmed","In past 21 days","344","309","WHO"
"Guinea","CASES","Total","In past 21 days","344","309","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1499","309","WHO"
"Guinea","DEATHS","Probable","Cumulative","282","309","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","309","WHO"
"Guinea","DEATHS","Total","Cumulative","1781","309","WHO"
"Liberia","CASES","Confirmed","Cumulative","3118","307","WHO"
"Liberia","CASES","Probable","Cumulative","1816","307","WHO"
"Liberia","CASES","Suspected","Cumulative","3223","307","WHO"
"Liberia","CASES","Total","Cumulative","8157","307","WHO"
"Liberia","CASES","Confirmed","In past 21 days","70","307","WHO"
"Liberia","CASES","Total","In past 21 days","70","307","WHO"
"Liberia","DEATHS","Total","Cumulative","3496","307","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7602","309","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","309","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1891","309","WHO"
"Sierra Leone","CASES","Total","Cumulative","9780","309","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","900","309","WHO"
"Sierra Leone","CASES","Total","In past 21 days","900","309","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2577","309","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","309","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","309","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2943","309","WHO"
"All countries","CASES","Total","Cumulative","20712","343","WHO"
"All countries","CASES","Total","In past 21 days","1314","343","WHO"
"All countries","DEATHS","Total","Cumulative","8220","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3118","308","WHO"
"Liberia","CASES","Probable","Cumulative","1816","308","WHO"
"Liberia","CASES","Suspected","Cumulative","3232","308","WHO"
"Liberia","CASES","Total","Cumulative","8166","308","WHO"
"Liberia","DEATHS","Total","Cumulative","3496","308","WHO"
"Guinea","CASES","Confirmed","Cumulative","2477","310","WHO"
"Guinea","CASES","Probable","Cumulative","282","310","WHO"
"Guinea","CASES","Suspected","Cumulative","17","310","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1504","310","WHO"
"Guinea","DEATHS","Probable","Cumulative","282","310","WHO"
"Guinea","DEATHS","Total","Cumulative","1786","310","WHO"
"Guinea","CASES","Total","Cumulative","2776","310","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7759","311","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","311","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1984","311","WHO"
"Sierra Leone","CASES","Total","Cumulative","10030","311","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2611","311","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","311","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","311","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2977","311","WHO"
"All countries","CASES","Total","Cumulative","20972","343","WHO"
"All countries","DEATHS","Total","Cumulative","8259","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3123","311","WHO"
"Liberia","CASES","Probable","Cumulative","1831","311","WHO"
"Liberia","CASES","Suspected","Cumulative","3309","311","WHO"
"Liberia","CASES","Total","Cumulative","8263","311","WHO"
"Liberia","DEATHS","Total","Cumulative","3515","311","WHO"
"Guinea","CASES","Confirmed","Cumulative","2493","312","WHO"
"Guinea","CASES","Probable","Cumulative","282","312","WHO"
"Guinea","CASES","Suspected","Cumulative","18","312","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1515","312","WHO"
"Guinea","DEATHS","Probable","Cumulative","282","312","WHO"
"Guinea","DEATHS","Total","Cumulative","1797","312","WHO"
"Guinea","CASES","Total","Cumulative","2793","312","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7759","311","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","311","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1984","311","WHO"
"Sierra Leone","CASES","Total","Cumulative","10030","311","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2611","311","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","311","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","311","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2977","311","WHO"
"All countries","CASES","Total","Cumulative","21086","343","WHO"
"All countries","DEATHS","Total","Cumulative","8289","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","3123","312","WHO"
"Liberia","CASES","Probable","Cumulative","1833","312","WHO"
"Liberia","CASES","Suspected","Cumulative","3322","312","WHO"
"Liberia","CASES","Total","Cumulative","8278","312","WHO"
"Liberia","DEATHS","Total","Cumulative","3515","312","WHO"
"Guinea","CASES","Confirmed","Cumulative","2508","315","WHO"
"Guinea","CASES","Probable","Cumulative","284","315","WHO"
"Guinea","CASES","Suspected","Cumulative","7","315","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1523","315","WHO"
"Guinea","DEATHS","Probable","Cumulative","284","315","WHO"
"Guinea","DEATHS","Total","Cumulative","1807","315","WHO"
"Guinea","CASES","Total","Cumulative","2799","315","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7766","315","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","315","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","2041","315","WHO"
"Sierra Leone","CASES","Total","Cumulative","10094","315","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2683","315","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","315","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","315","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","3049","315","WHO"
"All countries","CASES","Total","Cumulative","22171","343","WHO"
"All countries","DEATHS","Total","Cumulative","8371","343","WHO"
"Guinea","CASES","Total","Cumulative","2799","315","WHO"
"Guinea","CASES","Confirmed","Cumulative","2508","315","WHO"
"Guinea","CASES","Probable","Cumulative","284","315","WHO"
"Guinea","CASES","Suspected","Cumulative","7","315","WHO"
"Guinea","DEATHS","Total","Cumulative","1807","315","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1523","315","WHO"
"Guinea","DEATHS","Probable","Cumulative","284","315","WHO"
"Liberia","CASES","Total","Cumulative","8278","312","WHO"
"Liberia","CASES","Confirmed","Cumulative","3123","312","WHO"
"Liberia","CASES","Probable","Cumulative","1833","312","WHO"
"Liberia","CASES","Suspected","Cumulative","3322","312","WHO"
"Liberia","DEATHS","Total","Cumulative","3515","312","WHO"
"Sierra Leone","CASES","Total","Cumulative","10094","315","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7766","315","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","315","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","2041","315","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","3049","315","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2683","315","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","315","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","315","WHO"
"All countries","CASES","Total","Cumulative","21171","343","WHO"
"All countries","DEATHS","Total","Cumulative","8371","343","WHO"
"Guinea","CASES","Confirmed","Cumulative","2514","316","WHO"
"Guinea","CASES","Probable","Cumulative","284","316","WHO"
"Guinea","CASES","Suspected","Cumulative","8","316","WHO"
"Guinea","CASES","Total","Cumulative","2806","316","WHO"
"Guinea","CASES","Confirmed","In past 21 days","230","316","WHO"
"Guinea","CASES","Total","In past 21 days","230","316","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1530","316","WHO"
"Guinea","DEATHS","Probable","Cumulative","284","316","WHO"
"Guinea","DEATHS","Total","Cumulative","1814","316","WHO"
"Liberia","CASES","Confirmed","Cumulative","3127","316","WHO"
"Liberia","CASES","Probable","Cumulative","1839","316","WHO"
"Liberia","CASES","Suspected","Cumulative","3365","316","WHO"
"Liberia","CASES","Total","Cumulative","8331","316","WHO"
"Liberia","CASES","Confirmed","In past 21 days","48","316","WHO"
"Liberia","CASES","Total","In past 21 days","48","316","WHO"
"Liberia","DEATHS","Total","Cumulative","3538","316","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7786","316","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","316","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","2051","316","WHO"
"Sierra Leone","CASES","Total","Cumulative","10124","316","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","769","316","WHO"
"Sierra Leone","CASES","Total","In past 21 days","769","316","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2696","316","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","316","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","316","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","3062","316","WHO"
"All countries","CASES","Total","Cumulative","21261","343","WHO"
"All countries","CASES","Total","In past 21 days","1047","343","WHO"
"All countries","DEATHS","Total","Cumulative","8414","343","WHO"
"Guinea","CASES","Total","Cumulative","2817","317","WHO"
"Guinea","CASES","Confirmed","Cumulative","2522","317","WHO"
"Guinea","CASES","Probable","Cumulative","284","317","WHO"
"Guinea","CASES","Suspected","Cumulative","11","317","WHO"
"Guinea","DEATHS","Total","Cumulative","1821","317","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1537","317","WHO"
"Guinea","DEATHS","Probable","Cumulative","284","317","WHO"
"Liberia","CASES","Total","Cumulative","8362","317","WHO"
"Liberia","CASES","Confirmed","Cumulative","3127","317","WHO"
"Liberia","CASES","Probable","Cumulative","1841","317","WHO"
"Liberia","CASES","Suspected","Cumulative","3394","317","WHO"
"Liberia","DEATHS","Total","Cumulative","3556","317","WHO"
"Sierra Leone","CASES","Total","Cumulative","10150","317","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7802","317","WHO"
"Sierra Leone","CASES","Probable","Cumulative","287","317","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","2061","317","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","3067","317","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","2701","317","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","208","317","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","158","317","WHO"
"All countries","CASES","Total","Cumulative","21329","343","WHO"
"All countries","DEATHS","Total","Cumulative","8444","343","WHO"
"Guinea","CASES","Total","Cumulative","2825","318","WHO"
"Guinea","CASES","Confirmed","Cumulative","2525","318","WHO"
"Guinea","CASES","Probable","Cumulative","288","318","WHO"
"Guinea","CASES","Suspected","Cumulative","12","318","WHO"
"Guinea","DEATHS","Total","Cumulative","1829","318","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1541","318","WHO"
"Guinea","DEATHS","Probable","Cumulative","288","318","WHO"
"Liberia","CASES","Total","Cumulative","8362","317","WHO"
"Liberia","CASES","Confirmed","Cumulative","3127","317","WHO"
"Liberia","CASES","Probable","Cumulative","1841","317","WHO"
"Liberia","CASES","Suspected","Cumulative","3394","317","WHO"
"Liberia","DEATHS","Total","Cumulative","3556","317","WHO"
"Sierra Leone","CASES","Total","Cumulative","10186","318","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","7825","318","WHO"
