"country","status","description","range","number","day","source"
"Sierra Leone","DEATHS","Probable","Cumulative","174","262","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","262","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1267","262","WHO"
"Guinea","CASES","Confirmed","Cumulative","1850","267","WHO"
"Guinea","CASES","Probable","Cumulative","210","267","WHO"
"Guinea","CASES","Suspected","Cumulative","74","267","WHO"
"Guinea","CASES","Total","Cumulative","2134","267","WHO"
"Guinea","CASES","Confirmed","In past 21 days","374","267","WHO"
"Guinea","CASES","Total","In past 21 days","374","267","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1050","267","WHO"
"Guinea","DEATHS","Probable","Cumulative","210","267","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","267","WHO"
"Guinea","DEATHS","Total","Cumulative","1260","267","WHO"
"Liberia","CASES","Confirmed","Cumulative","2727","266","WHO"
"Liberia","CASES","Probable","Cumulative","1754","266","WHO"
"Liberia","CASES","Suspected","Cumulative","2687","266","WHO"
"Liberia","CASES","Total","Cumulative","7168","266","WHO"
"Liberia","CASES","Confirmed","In past 21 days","319","266","WHO"
"Liberia","CASES","Total","In past 21 days","319","266","WHO"
"Liberia","DEATHS","Total","Cumulative","3016","266","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","5441","267","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","267","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1079","267","WHO"
"Sierra Leone","CASES","Total","Cumulative","6599","267","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","1339","267","WHO"
"Sierra Leone","CASES","Total","In past 21 days","1339","267","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1189","267","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","267","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","267","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1398","267","WHO"
"Guinea","CASES","Confirmed","Cumulative","1892","269","WHO"
"Guinea","CASES","Probable","Cumulative","210","269","WHO"
"Guinea","CASES","Suspected","Cumulative","21","269","WHO"
"Guinea","CASES","Total","Cumulative","2123","269","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1074","269","WHO"
"Guinea","DEATHS","Probable","Cumulative","210","269","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","269","WHO"
"Guinea","DEATHS","Total","Cumulative","1284","269","WHO"
"Liberia","CASES","Confirmed","Cumulative","2753","268","WHO"
"Liberia","CASES","Probable","Cumulative","1771","268","WHO"
"Liberia","CASES","Suspected","Cumulative","2720","268","WHO"
"Liberia","CASES","Total","Cumulative","7244","268","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","5595","269","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","269","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1128","269","WHO"
"Sierra Leone","CASES","Total","Cumulative","6802","269","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1254","269","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","269","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","269","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1463","269","WHO"
"Liberia","DEATHS","Total","Cumulative","3029","268","WHO"
"Guinea","CASES","Confirmed","Cumulative","1921","272","WHO"
"Guinea","CASES","Probable","Cumulative","210","272","WHO"
"Guinea","CASES","Suspected","Cumulative","24","272","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","5831","272","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","272","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1199","272","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1102","272","WHO"
"Guinea","DEATHS","Probable","Cumulative","210","272","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","272","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1321","272","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","272","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","272","WHO"
"Guinea","DEATHS","Total","Cumulative","1312","272","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1530","272","WHO"
"Guinea","CASES","Total","Cumulative","2155","272","WHO"
"Sierra Leone","CASES","Total","Cumulative","7109","272","WHO"
"Liberia","CASES","Total","Cumulative","7635","272","WHO"
"Liberia","CASES","Confirmed","Cumulative","2801","272","WHO"
"Liberia","CASES","Probable","Cumulative","1792","272","WHO"
"Liberia","CASES","Suspected","Cumulative","3042","272","WHO"
"Liberia","DEATHS","Total","Cumulative","3145","272","WHO"
"Guinea","CASES","Confirmed","Cumulative","1929","274","WHO"
"Guinea","CASES","Probable","Cumulative","210","274","WHO"
"Guinea","CASES","Suspected","Cumulative","25","274","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","5978","274","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","274","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1255","274","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1117","274","WHO"
"Guinea","DEATHS","Probable","Cumulative","210","274","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","274","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1374","274","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","274","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","274","WHO"
"Guinea","DEATHS","Total","Cumulative","1327","274","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1583","274","WHO"
"Guinea","CASES","Total","Cumulative","2164","274","WHO"
