"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","210","210.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","0","0.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","1321","1321.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","174","174.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","35","35.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","1312","1312.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","1530","1530.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","2155","2155.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","7109","7109.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","Not available","","","","Data not available"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","Not available","","","","Data not available"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","Not available","","","","Data not available"
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","7635","7635.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","2801","2801.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","1792","1792.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","3042","3042.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-01","Data package 2014-12-01","","2014-11-28","28 November 2014","","3145","3145.00000","","","An error on reported total number of deaths in Liberia was reported on November 24. This number has been corrected. As of November 28, the cumulative total number of deaths in Liberia is 3145."
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","1929","1929.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","210","210.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","25","25.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","5978","5978.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","79","79.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","1255","1255.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","1117","1117.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","210","210.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","0","0.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","1374","1374.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","174","174.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","35","35.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","1327","1327.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","1583","1583.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","2164","2164.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-30","30 November 2014","","7312","7312.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","3145","3145.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","Not available","","","","Data not available"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","Not available","","","","Data not available"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","Not available","","","","Data not available"
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","7635","7635.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","2801","2801.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","1792","1792.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-02","Data package 2014-12-02","","2014-11-28","28 November 2014","","3042","3042.00000","","",""
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1929","1929.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","210","210.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","25","25.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","2164","2164.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","306","306.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified"
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified"
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","306","306.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1117","1117.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","210","210.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","0","0.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1327","1327.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","2801","2801.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","1792","1792.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","3042","3042.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","7635","7635.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","278","278.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","278","278.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","3145","3145.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","5978","5978.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","79","79.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1255","1255.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","7312","7312.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1455","1455.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified"
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified"
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1455","1455.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1374","1374.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","174","174.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","35","35.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-30","30 November 2014","","1583","1583.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified"
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified"
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","Data not available","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","Data not available","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","2014-11-28","28 November 2014","","Data not available","","","","Data not available."
"UNSPECIFIED","All countries","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","","","","17 111","17111.00000","","",""
"UNSPECIFIED","All countries","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-12-03","Data package 2014-12-03","","","","","2039","2039.00000","","",""
"UNSPECIFIED","All countries","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-03","Data package 2014-12-03","","","","","6055","6055.00000","","",""
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","2805","2805.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","1792","1792.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","3053","3053.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","6039","6039.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","79","79.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","1302","1302.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","1949","1949.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","210","210.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","27","27.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","Not available","","","","Not available"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","1400","1400.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","174","174.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","35","35.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","1139","1139.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","210","210.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","0","0.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","3155","3155.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","1609","1609.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","1349","1349.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-11-29","29 November 2014","","7650","7650.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-01","1 December 2014","","7420","7420.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","2014-12-02","2 December 2014","","2186","2186.00000","","",""
"UNSPECIFIED","All countries","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","","","","17 256","17256.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
"UNSPECIFIED","All countries","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-04","Data package 2014-12-04","","","","","6113","6113.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","2824","2824.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","1809","1809.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","3057","3057.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","6201","6201.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","79","79.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1355","1355.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1956","1956.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","215","215.00000","","",""
